epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,6636.19,0.85446,0.53099,0.02954,0.00024,0.95592,0.96431,0.98131,0.80267,0.70203,0.26862,0.02387,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6863.47,0.84811,0.51945,0.02899,0.00016,0.9599,0.96006,0.98157,0.8078,0.68921,0.26934,0.02214,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7091.04,0.84243,0.51734,0.0291,0.00016,0.95984,0.96576,0.98156,0.80848,0.68705,0.26523,0.02318,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7319.47,0.84196,0.5206,0.02857,0.00021,0.96926,0.95776,0.98219,0.81225,0.68442,0.26237,0.02232,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7547.24,0.84078,0.50373,0.02913,0.00022,0.96816,0.96424,0.9832,0.81457,0.67992,0.25705,0.02336,1e-05,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7774.95,0.83776,0.49453,0.02868,0.00021,0.96635,0.96275,0.98314,0.81542,0.67562,0.24879,0.02192,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8002.88,0.83444,0.49483,0.02876,0.00022,0.96547,0.96795,0.9829,0.81816,0.67094,0.24985,0.02212,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8231.22,0.82868,0.49357,0.02841,0.0002,0.96898,0.96358,0.98341,0.81968,0.6681,0.25057,0.02168,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8459.32,0.82935,0.48838,0.02716,0.00019,0.9691,0.97035,0.98561,0.82101,0.66467,0.2427,0.02136,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8688.32,0.80653,0.47687,0.02863,0.00018,0.97061,0.96677,0.98337,0.81952,0.6654,0.24355,0.02191,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8914.82,0.81375,0.47667,0.02853,0.00022,0.9721,0.96837,0.98528,0.82053,0.66568,0.24141,0.02199,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9142.26,0.8136,0.48137,0.02886,0.00022,0.96791,0.97307,0.98774,0.82133,0.66528,0.24125,0.02246,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9369.98,0.79964,0.4731,0.02872,0.00022,0.97132,0.96589,0.98552,0.8229,0.65953,0.24482,0.02171,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
